Name,Country,Source,Year
Zhang Xinrui,People's Republic of China,IPhO,2024
Jin Shuyu,People's Republic of China,IPhO,2024
Potapov Egor,Russia,IPhO,2024
Wang Zehua,People's Republic of China,IPhO,2024
Pan Siyan,People's Republic of China,IPhO,2024
Sun Rongxi,People's Republic of China,IPhO,2024
Gavrilov Daniil,Russia,IPhO,2024
Dragomir Andrei-Darius,Romania,IPhO,2024
Than The Cong,Vietnam,IPhO,2024
Gashpar Aleksei,Russia,IPhO,2024
Likhokon Ivan,Russia,IPhO,2024
Mohammad Amin Hagh Joo,Islamic Republic of Iran,IPhO,2024
Truong Phi Hung,Vietnam,IPhO,2024
Momoiu Alexandru,Romania,IPhO,2024
Rhythm Kedia,India,IPhO,2024
Stan Ionut-Gabriel,Romania,IPhO,2024
Ved Lahoti,India,IPhO,2024
Alina Palonskaya,Belarus,IPhO,2024
Behrad Mohammadian,Islamic Republic of Iran,IPhO,2024
Anisimov Aleksandr,Russia,IPhO,2024
Bhavya Tiwari,India,IPhO,2024
Minjae Kim,Republic of Korea,IPhO,2024
Akarsh Raj Sahay,India,IPhO,2024
Mendelsohn Mendel-Emanuel,Romania,IPhO,2024
Seyedmohammad Hosseini,Islamic Republic of Iran,IPhO,2024
Abolfazl Shiri,Islamic Republic of Iran,IPhO,2024
Tudose Rares-Felix,Romania,IPhO,2024
Kim Artur,Kazakhstan,IPhO,2024
Val Karan,Croatia,IPhO,2024
Nguyen Nhat Minh,Vietnam,IPhO,2024
Bissimbi Doszhan,Kazakhstan,IPhO,2024
Arda Ünver,Türkiye,IPhO,2024
Luka Tvalavadze,Georgia,IPhO,2024
Sarah Musaei,Islamic Republic of Iran,IPhO,2024
Nursagatov Margulan,Kazakhstan,IPhO,2024
Pshenvayev Amir,Kazakhstan,IPhO,2024
Azjargal Ganbold,Mongolia,IPhO,2024
Mohamad Eid Al Aktaa,Syria,IPhO,2024
Kutay Kulbak,Türkiye,IPhO,2024
Mihail Khyrsin,Belarus,IPhO,2024
Bahaa Aldeen Melhem,Syria,IPhO,2024
Drobnjaković Andrej,Serbia,IPhO,2024
Ara Mahdessian,Cyprus,IPhO,2024
Bayan Momchilov Gechev,Bulgaria,IPhO,2024
